sep=;
"Статья_ПВХ";"Код_ПВХ";"Тип";"ДДС";"А_Статьи_PL_имя";"А_Статьи_PL_код";"Группа_PL";"СуммаРеглДек25";"Источник_связи";"Комментарий"
"Будівельні матеріали";"00-000029";"Расход";"Строительные материалы";"Строительные материалы";"000000020";"Себестоимость проданой продукции (переменные производственные затраты)";"21602408.38";"ДДС";""
"Прямі виробничі витрати з Оренди обладнання";"100000566";"Расход";"Внутригрупповые затраты";"";"";"";"6287002.03";"нет_связи";"ДДС Внутригрупповые затраты не связана ни с одной А_Статьи_PL"
"Оплата за выполненные работы";"0Ц-000018";"Расход";"Оплата за выполненные работы";"Оплата за выполненные работы";"000000010";"Себестоимость проданой продукции (переменные производственные затраты)";"6225941.24";"ДДС";""
"Послуги стороніх організацій";"00-000021";"Расход";"Услуги сторонних организаций";"Услуги сторонних организаций";"000000012";"Себестоимость проданой продукции (переменные производственные затраты)";"5368207.42";"ДДС";""
"Оренда сторонньої техніки";"00-000025";"Расход";"Аренда сторонней техники";"Аренда сторонней техники";"000000016";"Себестоимость проданой продукции (переменные производственные затраты)";"4296333.76";"ДДС";""
"РКО_Плата за розрахунково-касове обслуговування й інші послуги банків";"100000032";"Расход";"Комиссия банков и др.платежи по РКО";"";"";"";"3191966.52";"нет_связи";"ДДС есть, PL-статьи нет — добавить в Услуги банков"
"Оренда техніки";"00-000024";"Расход";"Аренда техники";"Арена техники";"000000015";"Себестоимость проданой продукции (переменные производственные затраты)";"2238044.70";"ДДС";"Опечатка в PL: 'Арена' вместо 'Аренда'"
"Зарплата производственного персонала";"0Ц-000024";"Расход";"Зарплата производственного персонала";"";"";"";"2229531.38";"нет_связи_по_ДДС";"В PL есть 'ЗП производственного персонала' но ДДС='ЗП', не 'Зарплата производственного персонала'. ТРЕБУЕТСЯ пересвязать PL.ДДС"
"Зарплата управленческого персонала";"0Ц-000014";"Расход";"Зарплата управленческого персонала";"";"";"";"2093707.15";"нет_связи_по_ДДС";"В PL есть 'ЗП управленческого персонала' но ДДС='ЗП'. ТРЕБУЕТСЯ пересвязать"
"Інші послуги";"00-000052";"Расход";"Прочие затраты";"";"";"";"1655500.56";"нет_связи";"Прочие затраты — нет в PL. Рассмотреть: 'Прочие производственные'?"
"Зарплата ИТР";"0Ц-000020";"Расход";"Зарплата ИТР";"Зарплата ИТР";"000000006";"Себестоимость проданой продукции (переменные производственные затраты)";"1072392.26";"ДДС";""
"МШП";"00-000028";"Расход";"МШП";"МШП";"000000019";"Себестоимость проданой продукции (переменные производственные затраты)";"1029374.67";"ДДС";""
"Зарплата механизаторов";"0Ц-000027";"Расход";"Зарплата механизаторов";"";"";"";"916962.84";"нет_связи";"В PL нет статьи 'Зарплата механизаторов' — нужно создать или присвоить к ЗП производственного персонала"
"ГСМ (топливо)";"100000578";"Расход";"ГСМ (топливо)";"";"";"";"824160.68";"нет_связи";"В PL есть 'Транспортные затраты производственного персонала' (ДДС=Персонал) — уточнить с финансистом"
"Витрати по корпоративній культурі";"00-000055";"Расход";"Затраты по корпоративной культуре";"Затраты по корпоративной культуре";"000000053";"Административные затраты";"654170.74";"ДДС";""
"Прямі виробничі витрати: ремонт ОЗ виробничого устаткування";"100000091";"Расход";"Ремонты";"Ремонты";"000000021";"Себестоимость проданой продукции (переменные производственные затраты)";"626852.57";"ДДС";""
"Ремонт";"00-000030";"Расход";"Ремонты";"Ремонты";"000000021";"Себестоимость проданой продукции (переменные производственные затраты)";"582412.91";"ДДС";""
"Логістичні витрати";"00-000027";"Расход";"Транспортные расходы";"ИТ расходы";"000000031";"Общепроизводственные затраты";"562800.67";"ДДС_НЕПРАВИЛЬНО";"⚠️ ОШИБКА В МАППИНГЕ: PL 'ИТ расходы' имеет ДДС='Транспортные расходы' (видимо опечатка в А_Статьи_PL). Правильно: ПВХ → PL 'Логистические затраты'"
"Оренда опалубки";"00-000023";"Расход";"Аренда опалубки";"Аренда опалубки";"000000014";"Себестоимость проданой продукции (переменные производственные затраты)";"542875.71";"ДДС";""
"Разницы стоимости возврата и фактической стоимости товаров";"000000004";"Расход";"Возврат денежных средств";"";"";"";"502094.32";"нет_связи";"Техническая статья — не финансовая для PnL"
"Курсовые разницы (операционная деятельность)";"000000003";"Расход";"Прочие услуги банка";"Услуги банков";"000000051";"Административные затраты";"498325.92";"ДДС_МНОЖЕСТВ";"⚠️ ДДС 'Прочие услуги банка' указывает на 2 PL: 'Услуги' и 'Услуги банков'. Нужно выбрать одну."
"Оренда офісу з комунальними платежами";"00-000049";"Расход";"Коммунальные платежи (офис)";"";"";"";"437712.01";"нет_связи";"В PL 'Аренда офиса с коммунальными платежами' с ДДС='Аренда офиса' — пересвязать на 'Коммунальные платежи (офис)'"
"Зарплата подсобников";"0Ц-000019";"Расход";"Зарплата подсобников";"";"";"";"405800.00";"нет_связи_по_ДДС";"В PL 'ЗП подсобников' с ДДС='ЗП', пересвязать на 'Зарплата подсобников'"
"Послуги банків";"00-000053";"Расход";"Комиссия банков и др.платежи по РКО";"";"";"";"372481.29";"нет_связи";"Дубликат РКО_ (по той же ДДС) — обе идут в 'Услуги банков' PL"
"Удержание с зп упр персонала";"0Ц-000013";"Расход";"Удержание с админ зарплату";"";"";"";"276497.76";"нет_связи_по_ДДС";"В PL 'Удержание с зарплаты управленческого персонала' с ДДС='Персонал' — пересвязать"
"Оренда квартири + комуналка";"00-000033";"Расход";"Аренда квартиры";"Аренда квартиры с коммунальными платежами";"000000024";"Себестоимость проданой продукции (переменные производственные затраты)";"270584.38";"ДДС";""
"Начисления на зп упр персонал";"0Ц-000012";"Расход";"Начисления на админ зарплату";"";"";"";"252620.71";"нет_связи_по_ДДС";"В PL 'Начисления на управленчискую зарплату' с ДДС='Начисления на зарплату PM' — пересвязать"
"Штрафи";"100000580";"Расход";"Штраф";"Штраф";"000000060";"Административные затраты";"191979.43";"ДДС";""
"Удержание с зарплаты производственного персонала";"0Ц-000016";"Расход";"Удержание с зарплаты производственного персонала";"Удержание с зарплаты производственного персонала";"000000004";"Себестоимость проданой продукции (переменные производственные затраты)";"187969.86";"ДДС";""
"Услуги сторонних организаций";"0Ц-000026";"Расход";"Услуги сторонних организаций";"Услуги сторонних организаций";"000000012";"Себестоимость проданой продукции (переменные производственные затраты)";"180884.00";"ДДС";""
"Начисление на зарплату производственного персонала";"0Ц-000022";"Расход";"Начисления на зарплату производственного персонала";"Начисления на зарплату производственного персонала";"000000005";"Себестоимость проданой продукции (переменные производственные затраты)";"176967.01";"ДДС";""
"Оренда будівельного обладнання";"00-000022";"Расход";"Услуги сторонних организаций";"Услуги сторонних организаций";"000000012";"Себестоимость проданой продукции (переменные производственные затраты)";"155281.67";"ДДС_НЕПРАВИЛЬНО";"⚠️ ПВХ 'Оренда будівельного обладнання' имеет ДДС 'Услуги сторонних организаций'. Должна быть 'Аренда строительного оборудования' (PL такой есть, 000000013). Правка на уровне ПВХ"
"Амортизація ОЗ";"0Ц-000038";"Расход";"Амортизация";"";"";"";"149202.85";"нет_связи";"В PL нет статьи 'Амортизация' — финансист решает куда относить"
"Реклама";"00-000045";"Расход";"Реклама";"Реклама";"000000036";"Маркетинговые затраты";"146255.12";"ДДС";""
"Зарплата PM";"0Ц-000010";"Расход";"Зарплата PM";"";"";"";"140000.00";"нет_связи_по_ДДС";"В PL 'ЗП РМ' (группа Административные) с ДДС='ЗП' — пересвязать"
"Оренда вагончика";"00-000026";"Расход";"Аренда вагончика";"Аренда вагончика";"000000017";"Себестоимость проданой продукции (переменные производственные затраты)";"125400.00";"ДДС";""
"Витрати на службові відрядження й утримування апарату управління підприємством";"100000027";"Расход";"Суточные";"";"";"";"123000.00";"нет_связи";"В PL есть 'Затраты на коммандировки управленческого персонала' с ДДС='Персонал'. Пересвязать на 'Суточные'"
"Удержание с зарплаты ИТР";"0Ц-000029";"Расход";"Удержание с зарплаты ИТР";"Удержание с зарплаты ИТР";"000000007";"Себестоимость проданой продукции (переменные производственные затраты)";"118701.39";"ДДС";""
"ІТ витрати";"00-000040";"Расход";"Обслуживание офисной техники";"";"";"";"116741.50";"нет_связи";"В PL 'ИТ расходы' — связать через новую ДДС или добавить PL-статью"
"Начисления на зарплату ИТР";"0Ц-000017";"Расход";"Начисления на зарплату ИТР";"Начисления на зарплату ИТР";"000000008";"Себестоимость проданой продукции (переменные производственные затраты)";"112440.44";"ДДС";""
"Удержание с зарплаты механизатров";"0Ц-000030";"Расход";"Удержание с зарплаты механизатров";"";"";"";"85018.92";"нет_связи";"В PL нет — создать или мерджить с 'Удержание с зарплаты производственного персонала'"
"Начисления на зарплату механизаторов";"0Ц-000028";"Расход";"Начисления на зарплату механизаторов";"";"";"";"80173.55";"нет_связи";"аналогично"
"Зарплата кладовщика";"0Ц-000015";"Расход";"Зарплата кладовщика";"";"";"";"60000.00";"нет_связи";"В PL нет — относить к 'ЗП производственного персонала' или создать"
"Охорона офісу та пожежна сигналізація";"00-000042";"Расход";"Охрана офиса";"Охрана офиса и пожарная сигнализация";"000000033";"Общепроизводственные затраты";"30875.00";"ДДС";""
"Курєрські та поштові витрати";"00-000043";"Расход";"Курьерские и почтовые";"Курьерские и почтовые";"000000034";"Общепроизводственные затраты";"30724.18";"ДДС";""
"Загальні корпоративні витрати";"100000026";"Расход";"Канцтовары";"";"";"";"29242.79";"нет_связи";"ДДС='Канцтовары'. В PL есть 'Канцтовары' с ДДС='Канцтовары' — должна была сматчиться, проверить почему нет"
"Затраты при покупке и продаже иностранной валюты";"000000006";"Расход";"Прочие доходы от Фин деятельности";"";"";"";"27564.52";"нет_связи";"Техническая статья курсовых разниц"
"Дозвільна документація";"00-000035";"Расход";"Нотариальные действия";"";"";"";"23200.00";"нет_связи";"В PL 'Разрешительная документация' с ДДС='Разрешительная документация' — пересвязать через единую ДДС"
"Витрати на утримання, експлуатацію, оперативну оренду ОЗ загальновиробничого призначення";"100000014";"Расход";"Внутригрупповые затраты";"";"";"";"21000.00";"нет_связи";""
"Витрати на відрядження управлінського персоналу";"00-000050";"Расход";"Проживание";"";"";"";"20800.00";"нет_связи";"PL 'Затраты на коммандировки управленческого персонала' ДДС='Персонал' — пересвязать"
"Прямі виробничі витрати на придбання робіт, послуг";"100000084";"Расход";"Прочие производственные затраты";"Прочие производственные затраты";"000000022";"Себестоимость проданой продукции (переменные производственные затраты)";"20160.00";"ДДС";""
"Плата за расчетно-кассовое обслуживание и другие услуги банков";"100000032";"Расход";"Комиссия банков и др.платежи по РКО";"";"";"";"18690.37";"нет_связи";"Дубль РКО_"
"Витрати з Адміністративної Оренди";"100000576";"Расход";"Внутригрупповые затраты";"";"";"";"18166.67";"нет_связи";""
"Благоустрій офісу";"00-000038";"Расход";"Уборка помещений";"";"";"";"16000.00";"нет_связи";"PL 'Благоустройство офиса' ДДС='Благоустройство офиса' — пересвязать"
"Удержание с зарплаты РМ";"0Ц-000008";"Расход";"Удержание с зарплаты РМ";"Удержание с зарплаты РМ";"000000042";"Административные затраты";"15870.00";"ДДС";""
"Юридичні послуги";"00-000051";"Расход";"Прочие юр услуги";"";"";"";"14820.00";"нет_связи";"В PL 'Юридические услуги' БЕЗ ДДС — пересвязать на 'Прочие юр услуги'"
"Начисления на зарплату PM";"0Ц-000009";"Расход";"Начисления на зарплату PM";"Начисления на зарплату PM";"000000043";"Административные затраты";"14080.00";"ДДС_МНОЖЕСТВ";"ДДС указывает на 2 PL: 'Начисления на зарплату PM' и 'Начисления на управленчискую зарплату'"
"Інші виробничі витрати";"00-000031";"Расход";"Внутригрупповые затраты";"";"";"";"13750.00";"нет_связи";""
"Телекомуніційні витрати";"00-000047";"Расход";"Интернет";"";"";"";"5979.69";"нет_связи";"PL 'Телекомуникационные услуги' БЕЗ ДДС — пересвязать на 'Интернет'"
"Витрати на службові відрядження й утримування апарату управління підприємством_Проживання";"100000579";"Расход";"Суточные";"";"";"";"5872.00";"нет_связи";""
"Канцтовари";"00-000044";"Расход";"Канцтовары";"";"";"";"5562.50";"нет_связи";"В PL есть 'Канцтовары' с ДДС='Канцтовары' — проверить почему не сматчилось"
"Питна вода";"00-000041";"Расход";"Питьевая вода";"Питьевая вода";"000000032";"Общепроизводственные затраты";"3290.00";"ДДС";""
"Інші маркетингові витрати";"00-000046";"Расход";"Реклама";"Реклама";"000000036";"Маркетинговые затраты";"1500.00";"ДДС";""
"Хозтовари та матеріали";"00-000039";"Расход";"Прочие производственные затраты";"Прочие производственные затраты";"000000022";"Себестоимость проданой продукции (переменные производственные затраты)";"1000.00";"ДДС";""
"Інформаційно-консультаційні послуги";"100000098";"Расход";"Реклама";"Реклама";"000000036";"Маркетинговые затраты";"650.00";"ДДС_НЕПРАВИЛЬНО";"ПВХ 'Консульт.услуги' → ДДС 'Реклама' странно; проверить"
"Інші витрати господарської діяльності";"100000073";"Расход";"Реклама";"Реклама";"000000036";"Маркетинговые затраты";"137.75";"ДДС_НЕПРАВИЛЬНО";"аналогично"
"Погрешность расчета себестоимости";"000000002";"Расход";"Прочие производственные затраты";"Прочие производственные затраты";"000000022";"Себестоимость проданой продукции (переменные производственные затраты)";"-0.17";"ДДС";"Техническая"
"Прочие доходи";"000001007";"Доход";"Прочие поступления";"Доход от прочей операционной деятельности";"000000002";"Операционный доход";"3725889.67";"СтатьяДоходов";""
