Период;Подразделение;ДДС;СуммаАДР
2026-01;"КГ ""Подгорцы""";Прочие затраты;2909353.30
2025-12;Строительство;Прочие затраты;1578662.83
2026-02;ЦО;Прочие затраты;595850.45
2026-02;Производство;Прочие затраты;408500.00
2026-02;Глобино-2;Прочие затраты;167200.00
2025-12;ЦО;Прочие затраты;51077.73
2026-01;Строительство;Прочие затраты;46509.25
2026-02;Строительство;Прочие затраты;43680.85
2026-01;Адмін (Главный офис);Канцтовары;30221.51
2025-12;Адмін (Главный офис);Канцтовары;29242.79
2026-01;ЦО;Прочие затраты;27108.00
2026-01;Глобино-2;Прочие затраты;22300.00
2026-02;Адмін (Главный офис);Канцтовары;21247.98
2025-12;Глобино-2;Прочие затраты;16000.00
2025-12;Строительство;Уборка помещений;10000.00
2026-01;Строительство;Уборка помещений;10000.00
2026-02;Строительство;Уборка помещений;10000.00
2026-02;Чорноморськ;Прочие затраты;8000.00
2025-12;Глобино-2;Уборка помещений;6000.00
2026-01;Глобино-2;Уборка помещений;6000.00
2026-02;Глобино-2;Уборка помещений;6000.00
2026-01;Спецтехника;Прочие затраты;5000.00
2025-12;Производство;Канцтовары;4612.50
2025-12;КМД-2;Прочие затраты;2700.00
2025-12;Производство;Прочие затраты;2600.00
2026-01;Производство;Прочие затраты;2600.00
2025-12;Ретал.ГПУ;Прочие затраты;2500.00
2025-12;Укрнафта 1 Модуль;Прочие затраты;1123.00
2026-02;Производство;Канцтовары;1000.00
2025-12;Строительство;Канцтовары;950.00
2026-01;Производство;Канцтовары;750.00
2025-12;Астарта. Тищенки;Прочие затраты;560.00
2025-12;МД ВООЗ  2025;Прочие затраты;277.00
2026-01;Астарта. Тищенки;Прочие затраты;126.48
