Дата;Номер;Подразделение;Группа;СуммаExcel;СуммаРасчёт;Расхождение;Статус
2025-12-31;000000029;Астарта. Тищенки;Операционный доход;10526229.57;10526229.57;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Себестоимость проданой продукции (переменные производственные затраты);12393289.42;12393289.42;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Общепроизводственные затраты;35973.10;35973.10;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Маркетинговые затраты;0.00;0.00;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Административные затраты;202348.31;202348.31;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Налоги и сборы;0.00;0.00;0.00;OK
2025-12-31;000000029;Астарта. Тищенки;Финансовая деятельность;-132510.77;132510.77;-265021.54;РАСХОЖДЕНИЕ
2025-12-31;000000032;Глобино-2;Операционный доход;71955138.01;71955138.01;0.00;OK
2025-12-31;000000032;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);61244162.31;61244162.31;0.00;OK
2025-12-31;000000032;Глобино-2;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000032;Глобино-2;Общепроизводственные затраты;12719.01;12719.01;0.00;OK
2025-12-31;000000032;Глобино-2;Маркетинговые затраты;0.00;0.00;0.00;OK
2025-12-31;000000032;Глобино-2;Административные затраты;946527.00;946527.00;0.00;OK
2025-12-31;000000032;Глобино-2;Налоги и сборы;0.00;0.00;0.00;OK
2025-12-31;000000032;Глобино-2;Финансовая деятельность;-677548.01;677548.01;-1355096.02;РАСХОЖДЕНИЕ
2025-12-31;000000034;Кернел Кухня;Операционный доход;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Себестоимость проданой продукции (переменные производственные затраты);241970.07;241970.07;0.00;OK
2025-12-31;000000034;Кернел Кухня;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Общепроизводственные затраты;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Маркетинговые затраты;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Административные затраты;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Налоги и сборы;0.00;0.00;0.00;OK
2025-12-31;000000034;Кернел Кухня;Финансовая деятельность;-32410.83;32410.83;-64821.66;РАСХОЖДЕНИЕ
2025-12-31;000000030;КМД-2;Операционный доход;1816309.26;1816309.26;0.00;OK
2025-12-31;000000030;КМД-2;Себестоимость проданой продукции (переменные производственные затраты);2070208.89;2070208.89;0.00;OK
2025-12-31;000000030;КМД-2;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000030;КМД-2;Общепроизводственные затраты;1697.34;1697.34;0.00;OK
2025-12-31;000000030;КМД-2;Маркетинговые затраты;0.00;0.00;0.00;OK
2025-12-31;000000030;КМД-2;Административные затраты;107015.47;107015.47;0.00;OK
2025-12-31;000000030;КМД-2;Налоги и сборы;0.00;0.00;0.00;OK
2025-12-31;000000030;КМД-2;Финансовая деятельность;-18821.11;18821.11;-37642.22;РАСХОЖДЕНИЕ
2025-12-31;000000036;КПП Червоний хрест;Операционный доход;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Себестоимость проданой продукции (переменные производственные затраты);3137.09;3137.09;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Общепроизводственные затраты;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Маркетинговые затраты;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Административные затраты;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Налоги и сборы;0.00;0.00;0.00;OK
2025-12-31;000000036;КПП Червоний хрест;Финансовая деятельность;-538.91;538.91;-1077.82;РАСХОЖДЕНИЕ
2025-12-31;000000025;Крушинка;Операционный доход;65730.59;65730.59;0.00;OK
2025-12-31;000000025;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);41981.26;41981.26;0.00;OK
2025-12-31;000000025;Крушинка;Дополнительные  расходы;0.00;0.00;0.00;OK
2025-12-31;000000025;Крушинка;Общепроизводственные затраты;0.00;0.00;0.00;OK
