Период;Подразделение;Группа;СтатьяPL;Тип;Авто;СуммаPL;СуммаАДР;Разница;Δ_%;Статус
2025-12;MAN №5 KA5697НВ;Операционный доход;Выручка от продаж (товаров, работ, услуг);Доход;;282490.00;0.00;282490.00;100.00;DATA_GAP
2025-12;MAN №5 KA5697НВ;Операционный доход;Доход от прочей операционной деятельности;Доход;;0.00;90000.00;-90000.00;-100.00;DATA_GAP
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);ЗП производственного персонала;Расход;;61230.00;62325.00;-1095.00;-1.76;DATA_GAP
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты производственного персонала;Расход;;5175.00;5175.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату производственного персонала;Расход;;4950.00;4950.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Зарплата ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);ЗП подсобников;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Оплата за выполненные работы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Премия производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Услуги сторонних организаций;Расход;;0.00;190.00;-190.00;-100.00;DATA_GAP
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Аренда строительного оборудования;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Аренда опалубки;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Арена техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Аренда сторонней техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Аренда вагончика;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Логистические затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);МШП;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Строительные материалы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Ремонты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Прочие производственные затраты;Расход;;105064.77;0.00;105064.77;100.00;DATA_GAP
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Командировочные производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Аренда квартиры с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Транспортные затраты производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Разрешительная документация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Себестоимость проданой продукции (переменные производственные затраты);Представительские затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Дополнительные  расходы;Расход от ивест. Деятельности (ОС);Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Благоустройство офиса;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Хозтовары и материалы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;ИТ расходы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Питьевая вода;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Охрана офиса и пожарная сигнализация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Курьерские и почтовые;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Общепроизводственные затраты;Канцтовары;Расход;;0.00;0.00;0.00;0.00;OK
