Дата;Подразделение;PL_Доходы;PL_Расходы;АДР_Доходы;АДР_Расходы;Δ_Доходы;Δ_Расходы;Δ_%_Расходы;Статус
2025-12-31;Астарта. Тищенки;10526229.57;12631610.83;0.00;12535137.71;10526229.57;96473.12;0.77;OK (±1%)
2025-12-31;Глобино-2;71955138.01;62203408.32;0.00;22346057.68;71955138.01;39857350.64;178.36;РАЗРЫВ
2025-12-31;Кернел Кухня;0.00;241970.07;0.00;218075.19;0.00;23894.88;10.96;РАЗРЫВ
2025-12-31;КМД-2;1816309.26;2178921.70;0.00;2233600.52;1816309.26;-54678.82;-2.45;Группировка (финансист)
2025-12-31;КПП Червоний хрест;0.00;3137.09;0.00;0.00;0.00;3137.09;0.00;OK (±1%)
2025-12-31;Крушинка;65730.59;41981.26;0.00;0.00;65730.59;41981.26;0.00;OK (±1%)
2025-12-31;Логистика;3933649.71;3107079.51;101810.63;62577.23;3831839.08;3044502.28;4865.19;РАЗРЫВ
2025-12-31;МК Бориспільска;3350396.14;2799436.33;0.00;2269055.91;3350396.14;530380.42;23.37;РАЗРЫВ
2025-12-31;МХП Катеринополь;546862.84;1604997.68;0.00;1567464.10;546862.84;37533.58;2.39;Группировка (финансист)
2025-12-31;Нежин 4;26445.00;99431.15;0.00;198170.48;26445.00;-98739.33;-49.83;РАЗРЫВ
2025-12-31;Ретал.ГПУ;0.00;48516.49;0.00;40848.34;0.00;7668.15;18.77;РАЗРЫВ
2025-12-31;Укрнафта 1 Модуль;0.00;54022.72;0.00;53145.72;0.00;877.00;1.65;Группировка (финансист)
2026-01-31;Астарта. Тищенки;1751190.96;2527644.66;0.00;1871082.96;1751190.96;656561.70;35.09;РАЗРЫВ
2026-01-31;Глобино-2;52674592.14;37168480.98;0.00;8486584.66;52674592.14;28681896.32;337.97;РАЗРЫВ
2026-01-31;Кернел Кухня;0.00;97200.00;0.00;97199.99;0.00;0.01;0.00;OK (±1%)
2026-01-31;КМД-2;0.00;14065.90;0.00;13411.47;0.00;654.43;4.88;Группировка (финансист)
2026-01-31;КПП Червоний хрест;0.00;88253.19;0.00;73518.18;0.00;14735.01;20.04;РАЗРЫВ
2026-01-31;Крушинка;0.00;0.00;0.00;0.00;0.00;0.00;0.00;OK (±1%)
2026-01-31;Логистика;1356209.39;2003066.64;2183.41;52205.00;1354025.98;1950861.64;3736.92;РАЗРЫВ
2026-01-31;МХП Катеринополь;0.00;116157.90;0.00;158702.93;0.00;-42545.03;-26.81;РАЗРЫВ
2026-01-31;Нежин 4;8156.08;8156.08;0.00;0.00;8156.08;8156.08;0.00;OK (±1%)
2026-01-31;Ретал.ГПУ;0.00;0.00;0.00;23000.00;0.00;-23000.00;-100.00;РАЗРЫВ
2026-01-31;Укрнафта 1 Модуль;0.00;25292.20;0.00;23317.18;0.00;1975.02;8.47;Группировка (финансист)
2026-01-31;Чорноморськ;0.00;188602.38;0.00;61012.85;0.00;127589.53;209.12;РАЗРЫВ
2026-02-28;Астарта. Тищенки;8111671.05;6411229.42;0.00;1231997.81;8111671.05;5179231.61;420.39;РАЗРЫВ
2026-02-28;Глобино-2;38432968.66;32457429.14;0.00;17022596.72;38432968.66;15434832.42;90.67;РАЗРЫВ
2026-02-28;Кернел Кухня;0.00;37500.00;0.00;23256.86;0.00;14243.14;61.24;РАЗРЫВ
2026-02-28;КМД-2;15076.00;21176.00;7900.00;0.00;7176.00;21176.00;0.00;OK (±1%)
2026-02-28;КПП Червоний хрест;1849744.00;1207995.63;0.00;167893.84;1849744.00;1040101.79;619.50;РАЗРЫВ
2026-02-28;Крушинка;0.00;0.00;0.00;0.00;0.00;0.00;0.00;OK (±1%)
2026-02-28;Логистика;1193247.00;1574858.54;1793.51;52655.00;1191453.49;1522203.54;2890.90;РАЗРЫВ
2026-02-28;МД ПРООН Черкаси  ДСНС;0.00;58983.00;0.00;100999.07;0.00;-42016.07;-41.60;РАЗРЫВ
2026-02-28;МХП Катеринополь;541754.12;521269.82;0.00;118696.89;541754.12;402572.93;339.16;РАЗРЫВ
2026-02-28;Нежин 4;0.00;1772.40;0.00;1477.00;0.00;295.40;20.00;РАЗРЫВ
2026-02-28;Ретал.ГПУ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;OK (±1%)
2026-02-28;Укрнафта 1 Модуль;942000.00;778502.98;0.00;214659.73;942000.00;563843.25;262.67;РАЗРЫВ
2026-02-28;Чорноморськ;0.00;1144965.39;0.00;997865.61;0.00;147099.78;14.74;РАЗРЫВ
