=== Группа: Справочники ===
  [Организации]  | СправочникСсылка.Организации -> СправочникСсылка.Организации | св-в:8 | код:-
  [СтатьиДвиженияДенежныхСредств]  | СправочникСсылка.СтатьиДвиженияДенежныхСредств -> СправочникСсылка.СтатьиДвиженияДенежныхСредств | св-в:5 | код:-
  [Подразделения]  | СправочникСсылка.Подразделения -> СправочникСсылка.СтруктураПредприятия | св-в:3 | код:-
  [НаправленияДеятельности]  | СправочникСсылка.Направления -> СправочникСсылка.НаправленияДеятельности | св-в:3 | код:-
  [Склады]  | СправочникСсылка.Склады -> СправочникСсылка.Склады | св-в:17 | код:-
  [Валюты]  | СправочникСсылка.Валюты -> СправочникСсылка.Валюты | св-в:11 | код:ПослеЗагрузки(122)
  [КлассификаторБанков]  | СправочникСсылка.Банки -> СправочникСсылка.КлассификаторБанков | св-в:10 | код:-
  [ЕдиницыИзмерения]  | СправочникСсылка.КлассификаторЕдиницИзмерения -> СправочникСсылка.УпаковкиЕдиницыИзмерения | св-в:4 | код:ПослеЗагрузки(130)
  [КлассификаторУКТВЭД]  | СправочникСсылка.КлассификаторУКТВЭД -> СправочникСсылка.КлассификаторУКТВЭД | св-в:1 | код:-
  [СтатьиНалоговыхДеклараций]  | СправочникСсылка.СтатьиНалоговыхДеклараций -> СправочникСсылка.СтатьиНалоговыхДеклараций | св-в:6 | код:-
  [КлассификаторКОАТУУ]  | СправочникСсылка.КлассификаторКОАТУУ -> СправочникСсылка.КлассификаторКОАТУУ | св-в:5 | код:-
  [БанковскиеСчетаОрганизаций]  | СправочникСсылка.БанковскиеСчета -> СправочникСсылка.БанковскиеСчетаОрганизаций | св-в:15 | код:ПередВыгрузкой(172),ПослеЗагрузки(213)
  [БанковскиеСчетаКонтрагентов]  | СправочникСсылка.БанковскиеСчета -> СправочникСсылка.БанковскиеСчетаКонтрагентов | св-в:12 | код:ПередВыгрузкой(169)
  [Контрагенты]  | СправочникСсылка.Контрагенты -> СправочникСсылка.Контрагенты | св-в:23 | код:ПередВыгрузкой(1665),ПослеЗагрузки(1795)
  [ФизическиеЛица]  | СправочникСсылка.ФизическиеЛица -> СправочникСсылка.ФизическиеЛица | св-в:16 | код:ПередВыгрузкой(83),ПослеЗагрузки(499)
  [Номенклатура]  | СправочникСсылка.Номенклатура -> СправочникСсылка.Номенклатура | св-в:21 | код:ПередВыгрузкой(52),ПослеЗагрузки(1014)
  [ДоговорыКонтрагентов]  | СправочникСсылка.ДоговорыКонтрагентов -> СправочникСсылка.ДоговорыКонтрагентов | св-в:26 | код:ПослеЗагрузки(242)
  [Пользователи]  | СправочникСсылка.Пользователи -> СправочникСсылка.Пользователи | св-в:4 | код:ПослеЗагрузки(87)
  [ОбособленныеПодразделенияОрганизаций]  | СправочникСсылка.ОбособленныеПодразделенияОрганизаций -> СправочникСсылка.ОбособленныеПодразделенияОрганизаций | св-в:7 | код:-
  [НомераГТД]  | СправочникСсылка.НомераГТД -> СправочникСсылка.НомераГТД | св-в:4 | код:-
  [НоменклатураГТД]  | СправочникСсылка.НоменклатураГТД -> СправочникСсылка.НоменклатураГТД | св-в:6 | код:-
  [ВидыЦен]  | СправочникСсылка.ТипыЦенНоменклатуры -> СправочникСсылка.ВидыЦен | св-в:8 | код:ПередВыгрузкой(88),ПослеЗагрузки(127),ПередЗагрузкой(102)
  [ВидыКонтактнойИнформации]  | СправочникСсылка.ВидыКонтактнойИнформации -> СправочникСсылка.ВидыКонтактнойИнформации | св-в:19 | код:ПослеЗагрузки(117)
  [ЦенныеБумаги]  | СправочникСсылка.ЦенныеБумаги -> СправочникСсылка.ЦенныеБумаги | св-в:5 | код:-
  [ДоходыБудущихПериодов]  | СправочникСсылка.ДоходыБудущихПериодов -> СправочникСсылка.ДоходыБудущихПериодов | св-в:3 | код:-
  [НематериальныеАктивы]  | СправочникСсылка.НематериальныеАктивы -> СправочникСсылка.НематериальныеАктивы | св-в:9 | код:-
  [ОбъектыСтроительства]  | СправочникСсылка.ОбъектыСтроительства -> СправочникСсылка.ОбъектыСтроительства | св-в:5 | код:-
  [НалоговыеНазначенияАктивовИЗатрат]  | СправочникСсылка.НалоговыеНазначенияАктивовИЗатрат -> СправочникСсылка.НалоговыеНазначенияАктивовИЗатрат | св-в:4 | код:-
  [ВидыДоговоровПоГК]  | СправочникСсылка.ВидыДоговоровПоГК -> СправочникСсылка.ВидыДоговоровПоГК | св-в:4 | код:-
  [ОбъектыЭксплуатации]  | СправочникСсылка.ОсновныеСредства -> СправочникСсылка.ОбъектыЭксплуатации | св-в:13 | код:-
  [НалоговыеГруппыОсновныхСредств]  | СправочникСсылка.НалоговыеГруппыОсновныхСредств -> СправочникСсылка.НалоговыеГруппыОсновныхСредств | св-в:6 | код:-
  [СобытияОС]  | СправочникСсылка.СобытияОС -> СправочникСсылка.СобытияОС | св-в:5 | код:-
  [Налоги]  | СправочникСсылка.Налоги -> СправочникСсылка.Налоги | св-в:6 | код:-
  [НалоговыеИнспекции]  | СправочникСсылка.НалоговыеИнспекции -> СправочникСсылка.НалоговыеИнспекции | св-в:12 | код:-
  [СпособыВыплатыЗарплаты]  | СправочникСсылка.ВидыВыплат -> СправочникСсылка.СпособыВыплатыЗарплаты | св-в:2 | код:-
  [ПодразделенияОрганизаций]  | СправочникСсылка.ПодразделенияОрганизаций -> СправочникСсылка.А_ПодразделенияОрганизаций | св-в:6 | код:-
  [СтатьиНеоперационныхРасходов]  | СправочникСсылка.СтатьиНеоперационныхРасходов -> СправочникСсылка.А_СтатьиНеоперационныхРасходов | св-в:5 | код:-
  [КатегорииЭксплуатации]  | СправочникСсылка.НазначенияИспользования -> СправочникСсылка.КатегорииЭксплуатации | св-в:7 | код:-
  [СпособыОтраженияРасходовПоАмортизации]  | СправочникСсылка.СпособыОтраженияРасходовПоАмортизации -> СправочникСсылка.А_СпособыОтраженияРасходовПоАмортизации | св-в:7 | код:-

=== Группа: Перечисления ===
  [ЮрФизЛицо]  | ПеречислениеСсылка.ЮридическоеФизическоеЛицо -> ПеречислениеСсылка.ЮрФизЛицо | св-в:0 | код:-
  [ЮрФизЛицо_ЮридическоеФизическоеЛицо]  | ПеречислениеСсылка.ЮридическоеФизическоеЛицо -> ПеречислениеСсылка.ЮридическоеФизическоеЛицо | св-в:0 | код:-
  [ТипыСкладов]  | ПеречислениеСсылка.ТипыСкладов -> ПеречислениеСсылка.ТипыСкладов | св-в:0 | код:-
  [СтавкиНДС]  | ПеречислениеСсылка.СтавкиНДС -> ПеречислениеСсылка.СтавкиНДС | св-в:0 | код:-
  [ТипыКонтактнойИнформации]  | ПеречислениеСсылка.ТипыКонтактнойИнформации -> ПеречислениеСсылка.ТипыКонтактнойИнформации | св-в:0 | код:-
  [ВидыНалоговыхДеклараций]  | ПеречислениеСсылка.ВидыНалоговыхДеклараций -> ПеречислениеСсылка.ВидыНалоговыхДеклараций | св-в:0 | код:-
  [ВидыОперацийПокупкаПродажаВалюты]  | ПеречислениеСсылка.ВидыОперацийПокупкаПродажаВалюты -> ПеречислениеСсылка.ХозяйственныеОперации | св-в:0 | код:-
  [ВидыКодовДляНалоговойНакладной]  | ПеречислениеСсылка.ВидыКодовДляНалоговойНакладной -> ПеречислениеСсылка.ВидыКодовДляНалоговойНакладной | св-в:0 | код:-
  [СпособыУстановкиКурсаВалюты]  | ПеречислениеСсылка.СпособыУстановкиКурсаВалюты -> ПеречислениеСсылка.СпособыУстановкиКурсаВалюты | св-в:0 | код:-
  [ВидыСобытийОС]  | ПеречислениеСсылка.ВидыСобытийОС -> ПеречислениеСсылка.ВидыСобытийОС | св-в:0 | код:-
  [ТипыХраненияФайлов]  | ПеречислениеСсылка.ТипыХраненияФайлов -> ПеречислениеСсылка.ТипыХраненияФайлов | св-в:0 | код:-
  [ФорматыСканированногоИзображения]  | ПеречислениеСсылка.ФорматыСканированногоИзображения -> ПеречислениеСсылка.ФорматыСканированногоИзображения | св-в:0 | код:-
  [СтатусыИзвлеченияТекстаФайлов]  | ПеречислениеСсылка.СтатусыИзвлеченияТекстаФайлов -> ПеречислениеСсылка.СтатусыИзвлеченияТекстаФайлов | св-в:0 | код:-
  [СпособыРасчетаУдержаний]  | ПеречислениеСсылка.СпособыРасчетаУдержаний -> ПеречислениеСсылка.СпособыРасчетаУдержаний | св-в:0 | код:-
  [ПериодыРасчетаБазовыхНачислений]  | ПеречислениеСсылка.ПериодыРасчетаБазовыхНачислений -> ПеречислениеСсылка.ПериодыРасчетаБазовыхНачислений | св-в:0 | код:-
  [СостоянияОС]  | ПеречислениеСсылка.СостоянияОС -> ПеречислениеСсылка.СостоянияОС | св-в:0 | код:-
  [СрокиХраненияВерсий]  | ПеречислениеСсылка.СрокиХраненияВерсий -> ПеречислениеСсылка.СрокиХраненияВерсий | св-в:0 | код:-
  [ВидыДополнительныхОтчетовИОбработок]  | ПеречислениеСсылка.ВидыДополнительныхОтчетовИОбработок -> ПеречислениеСсылка.ВидыДополнительныхОтчетовИОбработок | св-в:0 | код:-
  [ДействияПриОбмене]  | ПеречислениеСсылка.ДействияПриОбмене -> ПеречислениеСсылка.ДействияПриОбмене | св-в:0 | код:-
  [ВидыСправокОДоходах]  | ПеречислениеСсылка.ВидыСправокОДоходах -> ПеречислениеСсылка.ВидыСправокОДоходах | св-в:0 | код:-
  [ВидыЕСВ]  | ПеречислениеСсылка.ВидыЕСВ -> ПеречислениеСсылка.ВидыЕСВ | св-в:0 | код:-
  [ВидыНачисленийДляТиповыхОтчетов]  | ПеречислениеСсылка.ВидыНачисленийДляТиповыхОтчетов -> ПеречислениеСсылка.ВидыНачисленийДляТиповыхОтчетов | св-в:0 | код:-
  [КатегорииНачисленийИНеоплаченногоВремени]  | ПеречислениеСсылка.КатегорииНачисленийИНеоплаченногоВремени -> ПеречислениеСсылка.КатегорииНачисленийИНеоплаченногоВремени | св-в:0 | код:-
  [СпособыРасчетаНачислений]  | ПеречислениеСсылка.СпособыРасчетаНачислений -> ПеречислениеСсылка.СпособыРасчетаНачислений | св-в:0 | код:-
  [КатегорииУдержаний]  | ПеречислениеСсылка.КатегорииУдержаний -> ПеречислениеСсылка.КатегорииУдержаний | св-в:0 | код:-
  [ВидыСтавокНДФЛ]  | ПеречислениеСсылка.ВидыСтавокНДФЛ -> ПеречислениеСсылка.ВидыСтавокНДФЛ | св-в:0 | код:-
  [СпособыПримененияЛьготРаботников]  | ПеречислениеСсылка.СпособыПримененияЛьготРаботников -> ПеречислениеСсылка.СпособыПримененияЛьготРаботников | св-в:0 | код:-
  [ВидыТранспортаСообщенийОбмена]  | ПеречислениеСсылка.ВидыТранспортаСообщенийОбмена -> ПеречислениеСсылка.ВидыТранспортаСообщенийОбмена | св-в:0 | код:-
  [ВидыГруппУчетаНачисленийИУдержаний]  | ПеречислениеСсылка.ВидыГруппУчетаНачисленийИУдержаний -> ПеречислениеСсылка.ВидыГруппУчетаНачисленийИУдержаний | св-в:0 | код:-
  [СостоянияЗаданий]  | ПеречислениеСсылка.СостоянияЗаданий -> ПеречислениеСсылка.СостоянияЗаданий | св-в:0 | код:-
  [ДополнительныеЗначенияДоступа]  | ПеречислениеСсылка.ДополнительныеЗначенияДоступа -> ПеречислениеСсылка.ДополнительныеЗначенияДоступа | св-в:0 | код:-
  [ВариантыПубликацииДополнительныхОтчетовИОбраб]  | ПеречислениеСсылка.ВариантыПубликацииДополнительныхОтчетовИОбработок -> ПеречислениеСсылка.ВариантыПубликацииДополнительныхОтчетовИОбработок | св-в:0 | код:-
  [РежимыСовместимостиРазрешенийДополнительныхОт]  | ПеречислениеСсылка.РежимыСовместимостиРазрешенийДополнительныхОтчетовИОбработок -> ПеречислениеСсылка.РежимыСовместимостиРазрешенийДополнительныхОтчетовИОбработок | св-в:0 | код:-
  [СпособыВызоваДополнительныхОбработок]  | ПеречислениеСсылка.СпособыВызоваДополнительныхОбработок -> ПеречислениеСсылка.СпособыВызоваДополнительныхОбработок | св-в:0 | код:-
  [ВидыОтчетности]  | ПеречислениеСсылка.ВидыОтчетности -> ПеречислениеСсылка.ВидыОтчетности | св-в:0 | код:-
  [ПорядкиОкругленияОтчетности]  | ПеречислениеСсылка.ПорядкиОкругленияОтчетности -> ПеречислениеСсылка.ПорядкиОкругленияОтчетности | св-в:0 | код:-
  [Периодичность]  | ПеречислениеСсылка.Периодичность -> ПеречислениеСсылка.Периодичность | св-в:0 | код:-
  [ВерсииФорматовВыгрузки]  | ПеречислениеСсылка.ВерсииФорматовВыгрузки -> ПеречислениеСсылка.ВерсииФорматовВыгрузки | св-в:0 | код:-
  [ВидыЗанятости]  | ПеречислениеСсылка.ВидыЗанятости -> ПеречислениеСсылка.ВидыЗанятости | св-в:0 | код:-
  [ВидыОперацийРегистрацияВходящегоНалоговогоДок]  | ПеречислениеСсылка.ВидыОперацийРегистрацияВходящегоНалоговогоДокумента -> ПеречислениеСсылка.ВидыОперацийРегистрацияВходящегоНалоговогоДокумента | св-в:0 | код:-
  [ФорматыСохраненияОтчетов]  | ПеречислениеСсылка.ФорматыСохраненияОтчетов -> ПеречислениеСсылка.ФорматыСохраненияОтчетов | св-в:0 | код:-
  [ВидыНалоговыхГруппНА]  | ПеречислениеСсылка.ВидыНалоговыхГруппНА -> ПеречислениеСсылка.ВидыНалоговыхГруппНА | св-в:0 | код:-
  [СпособыНачисленияАмортизацииНМА]  | ПеречислениеСсылка.СпособыНачисленияАмортизацииНМА -> ПеречислениеСсылка.СпособыНачисленияАмортизацииНМА | св-в:0 | код:-
  [СостоянияЗапросовНаИспользованиеВнешнихРесурс]  | ПеречислениеСсылка.СостоянияЗапросовНаИспользованиеВнешнихРесурсов -> ПеречислениеСсылка.СостоянияЗапросовНаИспользованиеВнешнихРесурсов | св-в:0 | код:-
  [ПолФизическогоЛица]  | ПеречислениеСсылка.ПолФизическогоЛица -> ПеречислениеСсылка.ПолФизическогоЛица | св-в:0 | код:-
  [ТипыТекстовЭлектронныхПисем]  | ПеречислениеСсылка.ТипыТекстовЭлектронныхПисем -> ПеречислениеСсылка.ТипыТекстовЭлектронныхПисем | св-в:0 | код:-
  [РезультатыВыполненияОбмена]  | ПеречислениеСсылка.РезультатыВыполненияОбмена -> ПеречислениеСсылка.РезультатыВыполненияОбмена | св-в:0 | код:-
  [СостоянияПодключенияСервисов]  | ПеречислениеСсылка.СостоянияПодключенияСервисов -> ПеречислениеСсылка.СостоянияПодключенияСервисов | св-в:0 | код:-
  [СпособыРасчетаВзносов]  | ПеречислениеСсылка.СпособыРасчетаВзносов -> ПеречислениеСсылка.СпособыРасчетаВзносов | св-в:0 | код:-
  [ВариантыОчисткиФайлов]  | ПеречислениеСсылка.ВариантыОчисткиФайлов -> ПеречислениеСсылка.ВариантыОчисткиФайлов | св-в:0 | код:-
  [ПорогиШкалыСтавокНалогов]  | ПеречислениеСсылка.ПорогиШкалыСтавокНалогов -> ПеречислениеСсылка.ПорогиШкалыСтавокНалогов | св-в:0 | код:-
  [ДополнительнаяКолонкаПечатныхФормДокументов]  | ПеречислениеСсылка.ДополнительнаяКолонкаПечатныхФормДокументов -> ПеречислениеСсылка.ДополнительнаяКолонкаПечатныхФормДокументов | св-в:0 | код:-
  [ТипыУслуг]  | ПеречислениеСсылка.ТипыУслуг -> ПеречислениеСсылка.ТипыУслуг | св-в:0 | код:-
  [РазрешенияСканированногоИзображения]  | ПеречислениеСсылка.РазрешенияСканированногоИзображения -> ПеречислениеСсылка.РазрешенияСканированногоИзображения | св-в:0 | код:-
  [СпособыНачисленияАмортизацииОС]  | ПеречислениеСсылка.СпособыНачисленияАмортизацииОС -> ПеречислениеСсылка.СпособыНачисленияАмортизацииОС | св-в:0 | код:-
  [ПричиныОтключенияРасширенийВМоделиСервиса]  | ПеречислениеСсылка.ПричиныОтключенияРасширенийВМоделиСервиса -> ПеречислениеСсылка.ПричиныОтключенияРасширенийВМоделиСервиса | св-в:0 | код:-
  [ТипХранилищаСертификатов]  | ПеречислениеСсылка.ТипХранилищаСертификатов -> ПеречислениеСсылка.ТипХранилищаСертификатов | св-в:0 | код:-
  [ПричиныОтключенияДополнительныхОтчетовИОбрабо]  | ПеречислениеСсылка.ПричиныОтключенияДополнительныхОтчетовИОбработокВМоделиСервиса -> ПеречислениеСсылка.ПричиныОтключенияДополнительныхОтчетовИОбработокВМоделиСервиса | св-в:0 | код:-
  [СпособыАутентификации]  | ПеречислениеСсылка.СпособыАутентификации -> ПеречислениеСсылка.СпособыАутентификации | св-в:0 | код:-
  [ТипыДанныхКэшаПрограммныхИнтерфейсов]  | ПеречислениеСсылка.ТипыДанныхКэшаПрограммныхИнтерфейсов -> ПеречислениеСсылка.ТипыДанныхКэшаПрограммныхИнтерфейсов | св-в:0 | код:-
  [ТипыПроблемОбменаДанными]  | ПеречислениеСсылка.ТипыПроблемОбменаДанными -> ПеречислениеСсылка.ТипыПроблемОбменаДанными | св-в:0 | код:-
  [УровниПроизводительности]  | ПеречислениеСсылка.УровниПроизводительности -> ПеречислениеСсылка.УровниПроизводительности | св-в:0 | код:-
  [Нумераторы]  | ПеречислениеСсылка.Нумераторы -> ПеречислениеСсылка.Нумераторы | св-в:0 | код:-
  [СпособыРедактированияЭлектронныхПисем]  | ПеречислениеСсылка.СпособыРедактированияЭлектронныхПисем -> ПеречислениеСсылка.СпособыРедактированияЭлектронныхПисем | св-в:0 | код:-
  [ВидыПравилДляОбменаДанными]  | ПеречислениеСсылка.ВидыПравилДляОбменаДанными -> ПеречислениеСсылка.ВидыПравилДляОбменаДанными | св-в:0 | код:-
  [РежимыРаботыФормыСотрудника]  | ПеречислениеСсылка.РежимыРаботыФормыСотрудника -> ПеречислениеСсылка.РежимыРаботыФормыСотрудника | св-в:0 | код:-
  [ИсточникиПравилДляОбменаДанными]  | ПеречислениеСсылка.ИсточникиПравилДляОбменаДанными -> ПеречислениеСсылка.ИсточникиПравилДляОбменаДанными | св-в:0 | код:-
  [СпособыЗаполненияГрафикаРаботы]  | ПеречислениеСсылка.СпособыЗаполненияГрафикаРаботы -> ПеречислениеСсылка.СпособыЗаполненияГрафикаРаботы | св-в:0 | код:-
  [СтатусыОбластейДанных]  | ПеречислениеСсылка.СтатусыОбластейДанных -> ПеречислениеСсылка.СтатусыОбластейДанных | св-в:0 | код:-
  [РежимыФормированияПечатныхФорм]  | ПеречислениеСсылка.РежимыФормированияПечатныхФорм -> ПеречислениеСсылка.РежимыФормированияПечатныхФорм | св-в:0 | код:-
  [ВидыМестВыплатыЗарплаты]  | ПеречислениеСсылка.ВидыМестВыплатыЗарплаты -> ПеречислениеСсылка.ВидыМестВыплатыЗарплаты | св-в:0 | код:-
  [ВариантыИспользованияВнешнихКомпонент]  | ПеречислениеСсылка.ВариантыИспользованияВнешнихКомпонент -> ПеречислениеСсылка.ВариантыИспользованияВнешнихКомпонент | св-в:0 | код:-
  [ТипыОтчетов]  | ПеречислениеСсылка.ТипыОтчетов -> ПеречислениеСсылка.ТипыОтчетов | св-в:0 | код:-
  [ДоступныеПериодыОтчета]  | ПеречислениеСсылка.ДоступныеПериодыОтчета -> ПеречислениеСсылка.ДоступныеПериодыОтчета | св-в:0 | код:-
  [ВидыЗадолженности]  | ПеречислениеСсылка.ВидыЗадолженности -> ПеречислениеСсылка.ВидыЗадолженности | св-в:0 | код:-
  [РежимыВыгрузкиОбъектовОбмена]  | ПеречислениеСсылка.РежимыВыгрузкиОбъектовОбмена -> ПеречислениеСсылка.РежимыВыгрузкиОбъектовОбмена | св-в:0 | код:-
