# Параметри договорів для «Фінансового звіту виробництва» (напрямок «Производство»)
#
# Файл — джерело для ПОВТОРНОЇ заливки у базу bas_industrialbud.
# Завантажити назад:  python doc_finrep_load_dogovorov.py --apply
#
# Ключ — UUID договору. Наймення НЕ ключ: вони не унікальні і містять помилки набору
# («Договід підряду» замість «Договір»), а один номер 21/01/26 буває у кількох договорів.
#
# Колонки (розділювач — TAB):
#   1 UUID              не змінювати
#   2 Підрозділ         довідково, не завантажується
#   3 Контрагент        довідково, не завантажується
#   4 Договір           довідково, не завантажується
#   5 СумаУгоди         → А_СуммаСоглашения      (колонка C звіту)
#   6 СумаДЦ            → А_СуммаДЦ              (колонка D звіту)
#   7 ВідсотокУтримання → А_ПроцентГарантийногоУдержания, 0..100
#   8 ВаріантФормули    → А_ВариантФормулыИтога: ЗадолженностьПлюсАкты | ВыполнениеМинусОплата | ТолькоРучной | (порожньо)
#   9 Об'єктПримітка    → А_ОбъектПримечание     (колонка B звіту)
#
# Формули підсумку K:
#   ЗадолженностьПлюсАкты  = G + I + J + H×(1 − Відсоток/100)
#   ВыполнениеМинусОплата  = (E + H)×(1 − Відсоток/100) + J − F
#   ТолькоРучной           = 0 (усе задається коригуваннями у документі)
#
# Порожній рядок = параметри не задані. Заповніть і завантажте — незаповнені пропускаються.
#
UUID	Підрозділ	Контрагент	Договір	СумаУгоди	СумаДЦ	ВідсотокУтримання	ВаріантФормули	Об'єктПримітка
4e4ab99d-17d4-11f1-8109-00155dce3d04	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір 08/12/2025 КПП Червоний хрест	0.00	0.00	0.00		
2c48865e-7daa-11f0-80fc-00155dce3d04	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір 27/05/2025 от 27.05.2025Червоний хрест	0.00	0.00	0.00		
b9a09be5-2726-11f0-80dd-00155dce3d04	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір ВООЗ ЕМС 17/02-25	0.00	0.00	0.00		
ccf8b5cc-42b8-11ef-80d2-00155d235309	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір пiдряд N 28/05/2024 ВООЗ	0.00	0.00	0.00		
ce385d8a-47ee-11ef-80d2-00155d235309	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір пiдряду N 28/12/2023 ООН	0.00	0.00	0.00		
169fbe84-4246-11ee-80ce-00155d235309	Главный офис	ІНДАСТРIАЛБУД ТОВ	Договір субаренди 01/07-23	0.00	0.00	0.00		
e20cda7b-4a93-11f0-80f0-00155dce3d04	Главный офис	ІНДЕПТ СТІЛ ТОВ	Договір поставки	0.00	0.00	0.00		
58aa2889-e226-11f0-8104-00155dce3d04	КПП Червоний хрест	ТОВАРИСТВО ЧЕРВОНОГО ХРЕСТА УКРАЇНИ	Договір купівлі-продажу №2427YD від 04.12.2025р.	0.00	0.00	0.00		
f77ac08e-90c3-11f1-811e-00155dce3d04	МД IRC 2026	ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ ІНТЕРНЕШНЛ РЕСК'Ю КОММІТТІ, ІНК. В УКРАЇНІ	Договір купівлі-продажу поставки товарів від 16.06	0.00	0.00	0.00		
3eb7ab0b-782f-11f0-80fb-00155dce3d04	МД IRS	ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ ІНТЕРНЕШНЛ РЕСК'Ю КОММІТТІ, ІНК. В УКРАЇНІ	Договір купівлі-продажу поставки товарів від 02.06	0.00	0.00	0.00		
