№;Организация;Контрагент;Номенклатура;Склад;Сумма_БО;Количество
1;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Кухня;ІС МД ООН;5010,80;0
2;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Плита ЛДСП  2800*2070*10;ІС Цех МД ПРООН;3480,00;0
3;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Швелер 16П  S275JR,12 м;ІС Цех МД ПРООН;2940,16;0
4;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Лінолеум;ІС Цех МД ПРООН;2385,43;0
5;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Брус 50*50 мм ;ІС Цех МД ПРООН;1695,47;0
6;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Круг відрізний по металу 230*2,0*22,23;ІС Цех МШП ПРООН;1161,61;0
7;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Стіл нерозкладний 1180х750;ІС МД ООН;1048,00;0
8;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Балка 24;ІС ЦЕХ Чорноморськ;652,92;0
9;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;"Труба 60х60х3 мм; ст. 1-3пс; 6 м";ІС Цех МД ПРООН;614,29;0
10;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Біта РZ 2*50 мм;ІС Цех МШП ПРООН;548,80;0
11;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Профіль сталевий листовий Н-57 RAL7024;ІС Цех МД ПРООН;481,37;0
12;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Біта РН 2*50 мм ;ІС Цех МШП ПРООН;402,50;0
13;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Свердло 6,0мм HSS TiN;ІС Цех МШП ПРООН;208,01;0
14;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Свердло по металу 4,5мм ;ІС Цех МШП ПРООН;202,00;0
15;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Гвинт -конфірмат 6,4х50;ІС Цех МД ПРООН;158,24;0
16;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Блок аварійного живлення;ІС Цех МД ПРООН;108,48;0
17;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Обігрівач керамічний  TC395 (бежевий) ;ІС МД ООН;96,81;0
18;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Плита ЛДСП  2800*2070*16;ІС Цех МД ПРООН;94,55;0
19;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Гіпсокартон 12,5  1,2х2,5 волгост  56шт/уп;ІС Цех МД ПРООН;79,69;0
20;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Дзеркало коло в рамі 600мм;ІС МД ООН;78,10;0
21;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;"Шланг водяний 3/4""* 0,4 м ";ІС Цех МД ПРООН;66,67;0
22;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Шпатель ;ІС Цех МШП ПРООН;64,71;0
23;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Шафа 1000х400х2200;ІС МД ООН;53,67;0
24;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;ВВГнг 3х4 кабель;ІС МД ООН;52,26;0
25;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;"Шланг водяний 3/4""* 0,6 м ";ІС Цех МД ПРООН;33,30;0
26;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Держак труби  метал. L 160 90 коричн;ІС МД ООН;28,05;0
27;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Коліно каналізаційне 50х87;ІС Цех МД ПРООН;26,00;0
28;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Стрічка малярна, 72мм*20м;ІС Цех МШП ПРООН;20,00;0
29;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Сповіщувач пожежний димовий СПД-3,4;ІС МД ООН;0,23;0
30;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Свердло по металу  4,0х75мм;ІС Цех МШП ПРООН;0,04;0
